site,datetime,value
trgw_003_008,2016-08-21,37.52325753806095
trgw_003_008,2016-08-22,37.25886429472345
trgw_003_008,2016-08-23,37.420082709030446
trgw_003_008,2016-08-24,37.39163574117124
trgw_003_008,2016-08-25,37.50718285014907
trgw_003_008,2016-08-26,37.067910294363315
trgw_003_008,2016-08-27,37.27472304604693
trgw_003_008,2016-08-28,37.54319912060017
trgw_003_008,2016-08-29,37.235357234473994
trgw_003_008,2016-08-30,37.169817724915376
trgw_003_008,2016-08-31,37.77448442996539
trgw_003_008,2016-09-01,37.37020360003588
trgw_003_008,2016-09-02,37.24280137201136
trgw_003_008,2016-09-03,37.01859591250518
trgw_003_008,2016-09-04,37.50083426925609
trgw_003_008,2016-09-05,37.49153723074374
trgw_003_008,2016-09-06,37.28904507988601
trgw_003_008,2016-09-07,37.12531796181858
trgw_003_008,2016-09-08,37.337306115271524
trgw_003_008,2016-09-09,37.171988786503675
trgw_003_008,2016-09-10,37.148445282225374
trgw_003_008,2016-09-11,37.313021449707655
trgw_003_008,2016-09-12,37.123971920267984
trgw_003_008,2016-09-13,37.37982779105049
trgw_003_008,2016-09-14,37.449662501881285
trgw_003_008,2016-09-15,37.15970351056536
trgw_003_008,2016-09-16,37.05144098093233
trgw_003_008,2016-09-17,37.63361591979116
trgw_003_008,2016-09-18,37.130713952808556
trgw_003_008,2016-09-19,37.18631145897953
trgw_003_008,2016-09-20,37.36060843348598
trgw_003_008,2016-09-21,37.43609387450446
trgw_003_008,2016-09-22,37.26103662126207
trgw_003_008,2016-09-23,37.40109186554025
trgw_003_008,2016-09-24,37.22647276842073
trgw_003_008,2016-09-25,37.10780186703512
trgw_003_008,2016-09-26,37.5827133721574
trgw_003_008,2016-09-27,37.791515322866225
trgw_003_008,2016-09-28,37.629213906602835
trgw_003_008,2016-09-29,37.315621327830684
trgw_003_008,2016-09-30,37.65251507236314
trgw_003_008,2016-10-01,37.3538857031448
trgw_003_008,2016-10-02,37.18615874591936
trgw_003_008,2016-10-03,37.37219591487639
trgw_003_008,2016-10-04,37.255191498717764
trgw_003_008,2016-10-05,37.07525636325085
trgw_003_008,2016-10-06,37.08841560571359
trgw_003_008,2016-10-07,37.42500034774811
trgw_003_008,2016-10-08,36.89531960366706
trgw_003_008,2016-10-09,37.38392734808854
trgw_003_008,2016-10-10,36.93376927945032
trgw_003_008,2016-10-11,36.83549471101951
